order_id_new,order_try_id_new,calc_created,metered_price,upfront_price,distance,duration,gps_confidence,entered_by,b_state,dest_change_number,prediction_price_type,predicted_distance,predicted_duration,change_reason_pricing,ticket_id_new,order_state,order_try_state,overpaid_ride_ticket,fraud_score,calc_date,calc_time,hour,time_block,pct_diff,price_deviation_flag
22,22,2020-02-02 03:37:31,4.04,10.0,2839,700,1,client,finished,1,upfront,13384.0,1091.0,,1376,finished,finished,0,-1383.0,2020-02-02,03:37:31,3,A,147.5247524752475,True
618,618,2020-02-08 02:26:19,6.09,3.6,5698,493,1,client,finished,1,upfront,2286.0,360.0,,2035,finished,finished,0,,2020-02-08,02:26:19,2,A,-40.88669950738916,True
657,657,2020-02-08 11:50:35,4.32,3.5,4426,695,1,client,finished,1,upfront,4101.0,433.0,,2222,finished,finished,0,-166.0,2020-02-08,11:50:35,11,B,-18.981481481481488,False
1176,1176,2020-02-13 17:31:24,20032.5,19500.0,10273,5067,1,client,finished,1,upfront,14236.0,2778.0,,2710,finished,finished,0,,2020-02-13,17:31:24,17,C,-2.6581804567577687,False
1209,1209,2020-02-14 01:27:01,6.11,6.3,4924,513,1,client,finished,1,upfront,4882.0,562.0,,2732,finished,finished,0,,2020-02-14,01:27:01,1,A,3.1096563011456544,False
761,761,2020-02-09 06:51:20,20753.2,10500.0,10459,1874,1,client,finished,1,upfront,4892.0,698.0,,2173,finished,finished,0,,2020-02-09,06:51:20,6,A,-49.40539290326311,True
1662,1662,2020-02-17 18:24:45,2.61,6.5,2020,412,1,client,finished,1,upfront,8545.0,888.0,,3229,finished,finished,0,-2350.0,2020-02-17,18:24:45,18,C,149.04214559386975,True
1999,1999,2020-02-21 11:02:38,4.14,2.5,3845,720,1,client,finished,1,upfront,1883.0,298.0,,3631,finished,finished,0,-5181.0,2020-02-21,11:02:38,11,B,-39.6135265700483,True
2366,2366,2020-02-24 08:51:31,8.04,8.1,9977,1257,1,client,finished,1,upfront,9891.0,1282.0,,4157,finished,finished,0,-652.0,2020-02-24,08:51:31,8,B,0.7462686567164242,False
3299,3299,2020-03-05 18:52:48,7.65,6.3,13355,1335,1,client,finished,1,upfront,11823.0,888.0,,282,finished,finished,0,-44.0,2020-03-05,18:52:48,18,C,-17.64705882352942,False
3797,3797,2020-03-10 16:32:01,8.49,8.7,9276,1555,1,client,finished,1,upfront,8781.0,1733.0,,854,finished,finished,0,,2020-03-10,16:32:01,16,C,2.473498233215537,False
3406,3406,2020-03-06 20:24:49,4.6,4.5,5278,662,1,client,finished,1,upfront,5632.0,546.0,,397,finished,finished,0,,2020-03-06,20:24:49,20,D,-2.173913043478253,False
201,201,2020-02-03 21:46:30,18929.92,6500.0,14560,1421,0,client,finished,1,upfront,3789.0,538.0,,1621,finished,finished,1,,2020-02-03,21:46:30,21,D,-65.66282372033268,True
1136,1136,2020-02-13 08:25:56,8.83,8.9,13053,1058,1,client,finished,1,upfront,12982.0,1080.0,,2647,finished,finished,0,-240.0,2020-02-13,08:25:56,8,B,0.792751981879958,False
986,986,2020-02-11 15:53:14,7.29,5.3,6499,1541,1,client,finished,1,upfront,4714.0,1052.0,,2467,finished,finished,0,-3526.0,2020-02-11,15:53:14,15,C,-27.297668038408784,True
1477,1477,2020-02-15 19:41:47,6000.0,10000.0,2478,372,1,client,finished,1,upfront,7381.0,934.0,,2998,finished,finished,1,,2020-02-15,19:41:47,19,D,66.66666666666666,True
1792,1792,2020-02-19 10:04:18,4.39,3.0,3921,810,1,client,finished,1,upfront,2313.0,511.0,,3495,finished,finished,0,-814.0,2020-02-19,10:04:18,10,B,-31.6628701594533,True
1780,1780,2020-02-19 08:04:36,4.36,3.6,4858,639,1,client,finished,1,upfront,2891.0,676.0,,3389,finished,finished,0,,2020-02-19,08:04:36,8,B,-17.43119266055046,False
1448,1448,2020-02-15 14:29:28,13.75,6.3,18706,2087,1,client,finished,1,upfront,8233.0,848.0,,2988,finished,finished,0,-6.0,2020-02-15,14:29:28,14,C,-54.18181818181819,True
1947,1947,2020-02-20 23:35:53,2.0,10.4,24,29,1,client,finished,1,upfront,21179.0,1346.0,,3591,finished,finished,0,-238.0,2020-02-20,23:35:53,23,D,420.0,True
1964,1964,2020-02-21 06:40:32,3.92,3.9,2412,613,1,client,finished,1,upfront,2403.0,590.0,,3694,finished,finished,0,,2020-02-21,06:40:32,6,A,-0.5102040816326535,False
2076,2076,2020-02-21 22:15:56,4.97,3.6,5710,738,1,client,finished,1,upfront,3809.0,503.0,,3726,finished,finished,0,,2020-02-21,22:15:56,22,D,-27.56539235412474,True
2056,2056,2020-02-21 18:11:08,7.37,4.0,7544,1403,0,client,finished,3,upfront,4385.0,574.0,,3700,finished,finished,0,-808.0,2020-02-21,18:11:08,18,C,-45.72591587516961,True
2762,2762,2020-02-28 19:06:12,4.55,5.4,4453,783,1,client,finished,1,upfront,6261.0,808.0,,4559,finished,finished,0,,2020-02-28,19:06:12,19,D,18.681318681318693,False
3521,3521,2020-03-07 19:44:45,4.33,4.6,4552,677,1,client,finished,1,upfront,4400.0,795.0,,527,finished,finished,0,,2020-03-07,19:44:45,19,D,6.235565819861422,False
3777,3777,2020-03-10 12:47:33,3.31,3.7,4771,573,1,client,finished,1,upfront,5637.0,613.0,,919,finished,finished,0,-40.0,2020-03-10,12:47:33,12,B,11.78247734138973,False
3546,3546,2020-03-07 23:28:20,14.91,11.6,17902,1881,1,driver,finished,3,upfront,14143.0,1194.0,,677,finished,finished,0,-274.0,2020-03-07,23:28:20,23,D,-22.199865861837694,True
4115,4115,2020-03-13 14:55:32,4.36,3.4,3901,799,1,client,finished,1,upfront,2777.0,604.0,,1189,finished,finished,0,-1258.0,2020-03-13,14:55:32,14,C,-22.018348623853218,True
556,556,2020-02-07 18:30:00,6950.59,7000.0,2724,1293,1,client,finished,1,upfront,3634.0,804.0,,1992,finished,finished,0,,2020-02-07,18:30:00,18,C,0.7108749041448259,False
4001,4001,2020-03-12 15:44:03,9.7,7.8,8858,2116,1,client,finished,1,upfront,7701.0,1524.0,,1083,finished,finished,0,,2020-03-12,15:44:03,15,C,-19.58762886597938,False
4022,4022,2020-03-12 18:59:49,5.75,3.8,6932,847,1,client,finished,1,upfront,3140.0,684.0,,1106,finished,finished,0,-439.0,2020-03-12,18:59:49,18,C,-33.913043478260875,True
251,251,2020-02-04 11:47:53,6000.0,16000.0,743,345,1,client,finished,1,upfront,12008.0,1910.0,,1636,finished,finished,0,,2020-02-04,11:47:53,11,B,166.66666666666669,True
463,463,2020-02-06 20:06:40,5765.0,5000.0,9015,1206,1,client,finished,1,upfront,7875.0,1067.0,,2335,finished,finished,0,,2020-02-06,20:06:40,20,D,-13.269731136166522,False
1557,1557,2020-02-16 16:30:15,2000.0,7000.0,400,134,1,client,finished,1,upfront,10793.0,1462.0,,3105,finished,finished,0,,2020-02-16,16:30:15,16,C,250.0,True
1608,1609,2020-02-17 08:45:21,4087.5,4500.0,4752,1755,1,client,finished,2,upfront,6791.0,1179.0,client_destination_changed,3171,finished,finished,0,,2020-02-17,08:45:21,8,B,10.091743119266056,False
88,88,2020-02-02 16:14:43,6000.0,11500.0,28,159,1,client,finished,1,upfront,8781.0,1271.0,,1439,finished,finished,0,,2020-02-02,16:14:43,16,C,91.66666666666666,True
2620,2620,2020-02-27 12:40:47,4.56,4.0,6851,874,0,client,finished,1,upfront,6206.0,700.0,,4409,finished,finished,0,-50.0,2020-02-27,12:40:47,12,B,-12.280701754385957,False
2563,2563,2020-02-26 16:14:37,2.5,6.8,104,73,1,client,finished,1,upfront,6780.0,1296.0,,4344,finished,finished,0,,2020-02-26,16:14:37,16,C,172.0,True
852,852,2020-02-10 06:42:27,19741.98,16500.0,12422,3853,1,client,finished,1,upfront,12443.0,1998.0,,2300,finished,finished,0,,2020-02-10,06:42:27,6,A,-16.4217570881948,False
3614,3614,2020-03-08 14:40:07,5.6,5.9,6512,857,1,client,finished,1,upfront,6734.0,955.0,,621,finished,finished,0,5.0,2020-03-08,14:40:07,14,C,5.35714285714287,False
40,40,2020-02-02 08:20:51,2000.0,6000.0,809,135,1,client,finished,1,upfront,8776.0,1556.0,,1385,finished,finished,0,,2020-02-02,08:20:51,8,B,200.0,True
128,128,2020-02-03 06:22:08,17.03,16.2,24295,2463,1,client,finished,1,upfront,22971.0,2364.0,,1516,finished,finished,0,-892.0,2020-02-03,06:22:08,6,A,-4.873752201996488,False
536,537,2020-02-07 15:12:43,11323.02,8500.0,8573,1168,0,client,finished,1,upfront,5398.0,1049.0,,1963,finished,finished,1,,2020-02-07,15:12:43,15,C,-24.9316878359307,True
541,541,2020-02-07 15:46:16,7.78,10.5,9689,1205,1,client,finished,1,upfront,10123.0,1405.0,,1970,finished,finished,0,-532.0,2020-02-07,15:46:16,15,C,34.96143958868894,True
682,682,2020-02-08 15:39:58,6000.0,6000.0,1748,514,1,client,finished,1,upfront,2545.0,467.0,,2103,finished,finished,0,,2020-02-08,15:39:58,15,C,0.0,False
559,559,2020-02-07 18:27:18,4.45,4.8,4665,708,1,client,finished,1,upfront,4666.0,829.0,,1984,finished,finished,0,-1178.0,2020-02-07,18:27:18,18,C,7.865168539325834,False
1257,1257,2020-02-14 14:07:30,7.63,6.2,9435,1183,1,client,finished,1,upfront,7691.0,920.0,,2783,finished,finished,0,-208.0,2020-02-14,14:07:30,14,C,-18.74180865006553,False
1832,1832,2020-02-19 17:40:49,4.16,3.2,5271,489,1,client,finished,1,upfront,3214.0,459.0,,3438,finished,finished,0,-372.0,2020-02-19,17:40:49,17,C,-23.076923076923077,True
948,948,2020-02-11 06:19:22,5.21,5.5,6423,718,1,client,finished,1,upfront,6969.0,757.0,,2422,finished,finished,0,,2020-02-11,06:19:22,6,A,5.566218809980807,False
2200,2200,2020-02-22 19:09:16,10.82,11.8,14027,1694,1,client,finished,1,upfront,14921.0,1934.0,,3941,finished,finished,0,-386.0,2020-02-22,19:09:16,19,D,9.057301293900188,False
2632,2632,2020-02-27 15:38:27,12.6,10.2,19864,1430,1,client,finished,1,upfront,15611.0,1185.0,,4446,finished,finished,0,-46.0,2020-02-27,15:38:27,15,C,-19.04761904761905,False
3946,3946,2020-03-12 00:40:37,8.26,8.3,15860,1175,1,client,finished,1,upfront,15667.0,1222.0,,1030,finished,finished,0,-231.0,2020-03-12,00:40:37,0,A,0.48426150121066497,False
3193,3193,2020-03-04 14:31:39,2.22,3.0,2446,413,1,client,finished,1,upfront,3223.0,696.0,,150,finished,finished,0,-5540.0,2020-03-04,14:31:39,14,C,35.13513513513512,True
3729,3729,2020-03-09 18:56:58,2.75,2.8,2338,205,1,client,finished,1,upfront,2359.0,308.0,,762,finished,finished,0,-144.0,2020-03-09,18:56:58,18,C,1.818181818181812,False
670,670,2020-02-08 13:51:06,3.63,4.0,3837,512,1,client,finished,1,upfront,4282.0,577.0,,2139,finished,finished,0,-514.0,2020-02-08,13:51:06,13,C,10.192837465564741,False
65,65,2020-02-02 14:09:24,7652.52,6500.0,5058,872,1,client,finished,1,upfront,3958.0,703.0,,1421,finished,finished,0,,2020-02-02,14:09:24,14,C,-15.060659756524652,False
600,600,2020-02-07 23:49:48,7.13,7.6,8502,1141,1,client,finished,1,upfront,9907.0,1108.0,,2045,finished,finished,0,,2020-02-07,23:49:48,23,D,6.591865357643756,False
839,839,2020-02-09 22:23:51,16518.54,15000.0,13744,1447,1,client,finished,1,upfront,12112.0,1506.0,,2274,finished,finished,0,,2020-02-09,22:23:51,22,D,-9.192943202002118,False
864,864,2020-02-10 08:27:49,17239.02,7500.0,7151,5075,1,client,finished,1,upfront,5077.0,787.0,,2317,finished,finished,0,-46.0,2020-02-10,08:27:49,8,B,-56.494046645342955,True
980,980,2020-02-11 15:09:39,6000.0,26500.0,0,0,0,client,finished,1,upfront,18253.0,2852.0,,2463,finished,finished,0,,2020-02-11,15:09:39,15,C,341.66666666666663,True
558,558,2020-02-07 18:30:29,6111.01,6500.0,3197,641,1,client,finished,1,upfront,3301.0,666.0,,2476,finished,finished,0,,2020-02-07,18:30:29,18,C,6.365396227464851,False
1196,1196,2020-02-13 20:27:59,5.52,6.3,9531,881,1,client,finished,1,upfront,10800.0,1069.0,,2815,finished,finished,0,-19.0,2020-02-13,20:27:59,20,D,14.1304347826087,False
551,551,2020-02-07 17:16:27,7.88,8.0,10293,611,1,client,finished,1,upfront,10473.0,626.0,,2011,finished,finished,0,-21.0,2020-02-07,17:16:27,17,C,1.52284263959391,False
1456,1456,2020-02-15 15:21:25,6.98,6.8,8402,1098,1,client,finished,1,upfront,8282.0,1022.0,,2999,finished,finished,0,-16.0,2020-02-15,15:21:25,15,C,-2.5787965616045927,False
1716,1715,2020-02-18 13:07:14,2.54,3.3,2193,352,1,client,finished,1,upfront,3586.0,406.0,,3304,finished,finished,0,-246.0,2020-02-18,13:07:14,13,C,29.921259842519675,True
974,974,2020-02-11 11:46:43,4.16,4.2,3882,721,1,client,finished,1,upfront,3843.0,740.0,,2445,finished,finished,0,,2020-02-11,11:46:43,11,B,0.9615384615384623,False
2351,2351,2020-02-24 01:14:35,6.51,6.6,8841,832,1,client,finished,1,upfront,9030.0,851.0,,4066,finished,finished,0,-1820.0,2020-02-24,01:14:35,1,A,1.3824884792626706,False
2009,2009,2020-02-21 12:55:19,5.23,3.2,4525,1043,1,client,finished,1,upfront,2861.0,496.0,,3653,finished,finished,0,-152.0,2020-02-21,12:55:19,12,B,-38.81453154875717,True
195,195,2020-02-03 20:06:19,7800.0,8000.0,566,401,1,client,finished,1,upfront,577.0,113.0,,1703,finished,finished,0,,2020-02-03,20:06:19,20,D,2.564102564102564,False
44,44,2020-02-02 10:45:04,30617.5,23000.0,19448,4635,1,client,finished,1,upfront,17267.0,2343.0,,1413,finished,finished,0,,2020-02-02,10:45:04,10,B,-24.879562341797993,True
172,172,2020-02-03 16:01:30,4.27,3.2,3498,675,1,client,finished,1,upfront,2115.0,496.0,,1551,finished,finished,0,-22.0,2020-02-03,16:01:30,16,C,-25.05854800936767,True
225,225,2020-02-04 09:26:05,9788.4,5000.0,15396,2206,1,client,finished,1,upfront,7813.0,1288.0,,1602,finished,finished,1,,2020-02-04,09:26:05,9,B,-48.91912876466021,True
105,105,2020-02-02 19:59:11,4.52,4.5,7145,786,1,client,finished,1,upfront,6984.0,826.0,,1672,finished,finished,0,,2020-02-02,19:59:11,19,D,-0.44247787610618533,False
251,251,2020-02-04 11:47:53,6000.0,16000.0,743,345,1,client,finished,1,upfront,12008.0,1910.0,,1696,finished,finished,0,,2020-02-04,11:47:53,11,B,166.66666666666669,True
315,315,2020-02-05 06:44:01,4.01,4.5,3396,744,1,client,finished,1,upfront,4615.0,715.0,,1711,finished,finished,0,1.0,2020-02-05,06:44:01,6,A,12.219451371571079,False
816,816,2020-02-09 17:38:24,10485.0,10500.0,7271,1332,1,client,finished,1,upfront,7260.0,1254.0,,2257,finished,finished,0,,2020-02-09,17:38:24,17,C,0.14306151645207438,False
591,591,2020-02-07 22:09:56,6.52,6.5,8656,866,1,client,finished,1,upfront,8506.0,866.0,,2272,finished,finished,0,-1200.0,2020-02-07,22:09:56,22,D,-0.3067484662576622,False
991,991,2020-02-11 16:59:41,10219.98,6000.0,5804,1909,1,client,finished,1,upfront,3376.0,633.0,,2472,finished,finished,0,,2020-02-11,16:59:41,16,C,-41.29147023771084,True
1047,1047,2020-02-12 07:13:47,3.13,3.7,2698,506,1,client,finished,1,upfront,3262.0,630.0,,2523,finished,finished,0,-2599.0,2020-02-12,07:13:47,7,B,18.210862619808317,False
1069,1069,2020-02-12 12:06:33,9687.83,8500.0,6000,1269,1,client,finished,1,upfront,5425.0,837.0,,2565,finished,finished,0,,2020-02-12,12:06:33,12,B,-12.261053300894007,False
1151,1151,2020-02-13 12:24:07,4.77,4.7,3998,950,1,client,finished,1,upfront,4613.0,836.0,,2670,finished,finished,0,32.0,2020-02-13,12:24:07,12,B,-1.4675052410901341,False
1530,1530,2020-02-16 06:22:11,6.25,4.9,8464,791,1,client,finished,1,upfront,5127.0,805.0,,3164,finished,finished,0,-78.0,2020-02-16,06:22:11,6,A,-21.599999999999994,True
1262,1262,2020-02-14 18:40:08,59316.78,19500.0,24055,16266,0,client,finished,1,upfront,14707.0,2605.0,,2831,finished,finished,0,,2020-02-14,18:40:08,18,C,-67.12565988915784,True
1774,1774,2020-02-19 06:44:27,6.53,5.0,4371,1594,1,client,finished,1,upfront,4807.0,916.0,,3380,finished,finished,0,-738.0,2020-02-19,06:44:27,6,A,-23.430321592649314,True
137,137,2020-02-03 08:16:33,4.26,3.5,4911,590,1,client,finished,1,upfront,3668.0,508.0,,1545,finished,finished,0,-330.0,2020-02-03,08:16:33,8,B,-17.840375586854456,False
106,106,2020-02-02 20:25:59,5.88,5.2,6126,1035,1,client,finished,1,upfront,6032.0,785.0,,1565,finished,finished,0,21.0,2020-02-02,20:25:59,20,D,-11.56462585034013,False
550,550,2020-02-07 16:58:24,3.75,4.2,1838,372,1,client,finished,1,upfront,2040.0,482.0,,2052,finished,finished,0,-16.0,2020-02-07,16:58:24,16,C,12.000000000000005,False
1058,1058,2020-02-12 08:56:25,6000.0,6000.0,2362,337,1,client,finished,1,upfront,3551.0,585.0,,2537,finished,finished,1,,2020-02-12,08:56:25,8,B,0.0,False
773,773,2020-02-09 10:38:19,10247.29,10500.0,2526,3021,1,client,finished,1,upfront,7079.0,996.0,,2193,finished,finished,0,,2020-02-09,10:38:19,10,B,2.466115431494562,False
1190,1190,2020-02-13 19:26:05,3.25,2.6,3070,493,1,client,finished,1,upfront,2203.0,391.0,,2715,finished,finished,0,-2050.0,2020-02-13,19:26:05,19,D,-20.0,False
1333,1333,2020-02-14 21:33:14,20258.93,15500.0,8505,1195,1,client,finished,1,upfront,6063.0,873.0,,2843,finished,finished,1,,2020-02-14,21:33:14,21,D,-23.490529855229276,True
1079,1079,2020-02-12 15:35:00,6.45,5.5,4985,1459,1,client,finished,1,upfront,4876.0,1087.0,,2589,finished,finished,0,-396.0,2020-02-12,15:35:00,15,C,-14.728682170542637,False
1529,1529,2020-02-16 07:53:10,51573.74,14000.0,29835,6998,0,client,finished,1,upfront,10462.0,1642.0,,3165,finished,finished,0,,2020-02-16,07:53:10,7,B,-72.85440225975466,True
1271,1271,2020-02-14 15:16:33,5.73,4.9,1841,605,1,client,finished,1,upfront,1796.0,426.0,,2834,finished,finished,0,-170.0,2020-02-14,15:16:33,15,C,-14.485165794066319,False
2534,2534,2020-02-26 09:32:09,18.66,16.0,24728,3050,1,driver,finished,4,upfront,24794.0,1961.0,,4306,finished,finished,0,-128.0,2020-02-26,09:32:09,9,B,-14.255091103965704,False
2751,2751,2020-02-28 18:22:31,4.22,3.5,3287,691,1,client,finished,1,upfront,2703.0,517.0,,4554,finished,finished,0,-2.0,2020-02-28,18:22:31,18,C,-17.06161137440758,False
3219,3219,2020-03-04 22:58:48,9.62,9.9,10893,1093,1,client,finished,1,upfront,11649.0,1064.0,,198,finished,finished,0,-10.0,2020-03-04,22:58:48,22,D,2.9106029106029228,False
3425,3425,2020-03-06 22:59:47,14.45,11.6,13161,1352,1,client,finished,3,upfront,10569.0,1007.0,,446,finished,finished,0,-124.0,2020-03-06,22:59:47,22,D,-19.72318339100346,False
3329,3329,2020-03-06 07:39:25,6.48,4.9,9016,793,1,client,finished,1,upfront,6564.0,564.0,,388,finished,finished,0,-121.0,2020-03-06,07:39:25,7,B,-24.382716049382715,True
342,342,2020-02-05 12:32:21,14998.26,13000.0,11247,1840,1,client,finished,1,upfront,9376.0,1685.0,,1741,finished,finished,0,,2020-02-05,12:32:21,12,B,-13.32327883367804,False
354,354,2020-02-05 14:32:43,6000.0,6000.0,224,192,0,client,finished,1,upfront,2782.0,510.0,,1760,finished,finished,0,,2020-02-05,14:32:43,14,C,0.0,False
545,545,2020-02-07 16:17:39,7.64,8.6,8464,1354,1,client,finished,1,upfront,10705.0,1368.0,,1989,finished,finished,0,-404.0,2020-02-07,16:17:39,16,C,12.56544502617801,False
917,917,2020-02-10 16:51:20,5.17,4.2,5135,569,1,client,finished,1,upfront,3484.0,534.0,,2375,finished,finished,0,,2020-02-10,16:51:20,16,C,-18.76208897485493,False
921,921,2020-02-10 20:22:10,48100.51,30000.0,27366,4874,1,client,finished,1,upfront,19131.0,2976.0,,2515,finished,finished,0,,2020-02-10,20:22:10,20,D,-37.63059892712157,True
1051,1051,2020-02-12 07:48:28,2.5,4.4,1622,410,1,client,finished,1,upfront,3497.0,895.0,,2529,finished,finished,0,-4040.0,2020-02-12,07:48:28,7,B,76.00000000000001,True
1227,1227,2020-02-14 06:24:36,2.0,2.1,41,31,1,client,finished,1,upfront,2504.0,350.0,,2764,finished,finished,0,-33.0,2020-02-14,06:24:36,6,A,5.000000000000004,False
1413,1413,2020-02-15 04:29:53,2.5,2.7,2254,293,1,client,finished,1,upfront,2102.0,421.0,,2887,finished,finished,0,-285.0,2020-02-15,04:29:53,4,A,8.000000000000007,False
1491,1491,2020-02-15 22:04:55,5.9,4.5,4542,631,1,client,finished,1,upfront,3472.0,419.0,,3077,finished,finished,0,-688.0,2020-02-15,22:04:55,22,D,-23.728813559322038,True
1249,1249,2020-02-14 15:10:41,41675.82,10000.0,21272,8012,0,client,finished,1,upfront,6694.0,1059.0,,3183,finished,finished,0,,2020-02-14,15:10:41,15,C,-76.00527116203114,True
1877,1877,2020-02-20 11:06:25,7.49,8.0,10715,912,1,client,finished,1,upfront,11048.0,1068.0,,4118,finished,finished,0,0.0,2020-02-20,11:06:25,11,B,6.809078771695591,False
2456,2456,2020-02-25 10:32:51,3.21,3.8,4348,599,1,client,finished,1,upfront,5272.0,766.0,,4197,finished,finished,0,-1305.0,2020-02-25,10:32:51,10,B,18.380062305295947,False
2641,2641,2020-02-27 16:09:32,4.0,7.6,562,180,1,client,finished,1,upfront,4991.0,764.0,,4429,finished,finished,0,,2020-02-27,16:09:32,16,C,89.99999999999999,True
2956,2956,2020-03-01 10:55:48,2.75,4.9,2,2,1,client,finished,1,upfront,4937.0,648.0,,4749,finished,finished,0,-864.0,2020-03-01,10:55:48,10,B,78.1818181818182,True
